orderid,noguest,tableno,intime,outtime,dine_type,payment,menu,sizeid,qty,price,cost,isrecommended,category,customer,gender,countryid,firstvisitdt
1,4,5,2002-01-01 10:51:00,2002-01-01 12:00:00,Eat in,Cash,ต้มยำกุ้ง (กลาง),M,1,100,40.0,1,Dish,Paul Hank,M,UK,2002-01-01 10:51:00
1,4,5,2002-01-01 10:51:00,2002-01-01 12:00:00,Eat in,Cash,ปลาราดพริก,L,2,400,160.0,0,Dish,Paul Hank,M,UK,2002-01-01 10:51:00
1,4,5,2002-01-01 10:51:00,2002-01-01 12:00:00,Eat in,Cash,ชุดอาหารเย็น,L,1,400,107.0,0,Menu Set,Paul Hank,M,UK,2002-01-01 10:51:00
2,1,3,2002-01-01 11:35:00,2002-01-01 12:42:00,Eat in,Cash,ต้มยำกุ้ง (กลาง),M,1,100,40.0,1,Dish,Any Female,F,TH,2002-01-01 11:35:00
2,1,3,2002-01-01 11:35:00,2002-01-01 12:42:00,Eat in,Cash,ต้มยำกุ้ง (เล็ก),S,2,20,8.0,0,Dish,Any Female,F,TH,2002-01-01 11:35:00
2,1,3,2002-01-01 11:35:00,2002-01-01 12:42:00,Eat in,Cash,แกงเขียวหวานไก่,M,2,60,24.0,1,Dish,Any Female,F,TH,2002-01-01 11:35:00
2,1,3,2002-01-01 11:35:00,2002-01-01 12:42:00,Eat in,Cash,ทอดมันปลา,S,2,30,12.0,1,Appetizer,Any Female,F,TH,2002-01-01 11:35:00
2,1,3,2002-01-01 11:35:00,2002-01-01 12:42:00,Eat in,Cash,น้ำส้มคั้น,M,2,20,6.0,0,Beverage,Any Female,F,TH,2002-01-01 11:35:00
2,1,3,2002-01-01 11:35:00,2002-01-01 12:42:00,Eat in,Cash,โค้ก-Diet,M,3,15,4.5,0,Beverage,Any Female,F,TH,2002-01-01 11:35:00
2,1,3,2002-01-01 11:35:00,2002-01-01 12:42:00,Eat in,Cash,น้ำเปล่า,M,3,10,3.0,0,Beverage,Any Female,F,TH,2002-01-01 11:35:00
2,1,3,2002-01-01 11:35:00,2002-01-01 12:42:00,Eat in,Cash,ข้าวเหนียวมะม่วง,S,1,40,14.0,0,Dessert,Any Female,F,TH,2002-01-01 11:35:00
2,1,3,2002-01-01 11:35:00,2002-01-01 12:42:00,Eat in,Cash,ชุดอาหารเที่ยง,S,2,100,31.25,0,Menu Set,Any Female,F,TH,2002-01-01 11:35:00
3,2,1,2002-01-01 12:14:00,2002-01-01 14:33:00,Eat in,Check,ต้มยำกุ้ง (กลาง),M,2,100,40.0,1,Dish,Any Female,F,TH,2002-01-01 11:35:00
3,2,1,2002-01-01 12:14:00,2002-01-01 14:33:00,Eat in,Check,แกงเขียวหวานไก่,M,1,60,24.0,1,Dish,Any Female,F,TH,2002-01-01 11:35:00
3,2,1,2002-01-01 12:14:00,2002-01-01 14:33:00,Eat in,Check,น้ำเปล่า,M,2,10,3.0,0,Beverage,Any Female,F,TH,2002-01-01 11:35:00
3,2,1,2002-01-01 12:14:00,2002-01-01 14:33:00,Eat in,Check,ข้าวเหนียวมะม่วง,S,1,40,14.0,0,Dessert,Any Female,F,TH,2002-01-01 11:35:00
3,2,1,2002-01-01 12:14:00,2002-01-01 14:33:00,Eat in,Check,ชุดอาหารเที่ยง,S,2,100,31.25,0,Menu Set,Any Female,F,TH,2002-01-01 11:35:00
4,3,5,2002-01-01 18:59:00,2002-01-01 19:58:00,Eat in,Master Card,ต้มยำกุ้ง (กลาง),M,2,100,40.0,1,Dish,Any Female,F,TH,2002-01-01 11:35:00
4,3,5,2002-01-01 18:59:00,2002-01-01 19:58:00,Eat in,Master Card,ต้มยำกุ้ง (เล็ก),S,2,20,8.0,0,Dish,Any Female,F,TH,2002-01-01 11:35:00
4,3,5,2002-01-01 18:59:00,2002-01-01 19:58:00,Eat in,Master Card,ผัดผักรวม,L,2,80,32.0,0,Dish,Any Female,F,TH,2002-01-01 11:35:00
4,3,5,2002-01-01 18:59:00,2002-01-01 19:58:00,Eat in,Master Card,ไก่ทอด,M,1,70,28.0,0,Dish,Any Female,F,TH,2002-01-01 11:35:00
4,3,5,2002-01-01 18:59:00,2002-01-01 19:58:00,Eat in,Master Card,น้ำเปล่า,M,2,10,3.0,0,Beverage,Any Female,F,TH,2002-01-01 11:35:00
5,1,5,2002-01-02 11:58:00,2002-01-02 13:32:00,Eat in,Cash,น้ำส้มคั้น,M,2,20,6.0,0,Beverage,Any Female,F,TH,2002-01-01 11:35:00
5,1,5,2002-01-02 11:58:00,2002-01-02 13:32:00,Eat in,Cash,โค้ก-Diet,M,2,15,4.5,0,Beverage,Any Female,F,TH,2002-01-01 11:35:00
5,1,5,2002-01-02 11:58:00,2002-01-02 13:32:00,Eat in,Cash,น้ำเปล่า,M,1,10,3.0,0,Beverage,Any Female,F,TH,2002-01-01 11:35:00
5,1,5,2002-01-02 11:58:00,2002-01-02 13:32:00,Eat in,Cash,ชุดอาหารเย็น,L,1,400,107.0,0,Menu Set,Any Female,F,TH,2002-01-01 11:35:00
6,3,1,2002-01-02 20:19:00,2002-01-02 22:25:00,Eat in,Check,ต้มยำกุ้ง (กลาง),M,1,100,40.0,1,Dish,Any Female,F,TH,2002-01-01 11:35:00
6,3,1,2002-01-02 20:19:00,2002-01-02 22:25:00,Eat in,Check,ทอดมันปลา,S,3,30,12.0,1,Appetizer,Any Female,F,TH,2002-01-01 11:35:00
6,3,1,2002-01-02 20:19:00,2002-01-02 22:25:00,Eat in,Check,เทมปุระ,S,3,50,20.0,0,Appetizer,Any Female,F,TH,2002-01-01 11:35:00
6,3,1,2002-01-02 20:19:00,2002-01-02 22:25:00,Eat in,Check,น้ำส้มคั้น,M,1,20,6.0,0,Beverage,Any Female,F,TH,2002-01-01 11:35:00
7,6,3,2002-01-03 11:39:00,2002-01-03 12:50:00,Eat in,Master Card,ต้มยำกุ้ง (เล็ก),S,2,20,8.0,0,Dish,Paul Hank,M,UK,2002-01-01 10:51:00
7,6,3,2002-01-03 11:39:00,2002-01-03 12:50:00,Eat in,Master Card,ปลาราดพริก,L,2,400,160.0,0,Dish,Paul Hank,M,UK,2002-01-01 10:51:00
7,6,3,2002-01-03 11:39:00,2002-01-03 12:50:00,Eat in,Master Card,ผัดผักรวม,L,2,80,32.0,0,Dish,Paul Hank,M,UK,2002-01-01 10:51:00
7,6,3,2002-01-03 11:39:00,2002-01-03 12:50:00,Eat in,Master Card,ไก่ทอด,M,1,70,28.0,0,Dish,Paul Hank,M,UK,2002-01-01 10:51:00
7,6,3,2002-01-03 11:39:00,2002-01-03 12:50:00,Eat in,Master Card,หมูสะเต็ะ,S,2,50,20.0,0,Appetizer,Paul Hank,M,UK,2002-01-01 10:51:00
7,6,3,2002-01-03 11:39:00,2002-01-03 12:50:00,Eat in,Master Card,น้ำส้มคั้น,M,2,20,6.0,0,Beverage,Paul Hank,M,UK,2002-01-01 10:51:00
